id,area,price,bedrooms,bathrooms,furnished,sqm,building_age,contact_name,contact_phone
46,Jakarta Selatan,8000000,1,2,yes,54,13,Agus Saputra,08747705062
47,Jakarta Pusat,10000000,3,1,yes,74,13,Maya Pratama,08778793853
48,Jakarta Selatan,11000000,1,2,yes,76,14,Fajar Anggraini,08899468772
49,Jakarta Timur,10000000,1,2,no,41,7,Hadi Kurniawan,08735013879
50,Jakarta Utara,10000000,1,2,yes,42,10,Fajar Kurniawan,08213321531
51,Jakarta Pusat,11000000,2,1,yes,29,13,Lia Halim,08808816912
52,Jakarta Timur,3000000,1,2,no,74,18,Budi Permata,08599002392
53,Jakarta Selatan,13000000,2,2,no,59,17,Maya Anggraini,08395579094
54,Jakarta Timur,10000000,1,2,no,67,12,Putri Anggraini,08279961107
55,Jakarta Selatan,14000000,3,1,yes,66,13,Rizki Anggraini,08341843636
56,Jakarta Utara,9000000,2,1,no,45,10,Eko Nugroho,08645232413
57,Jakarta Selatan,15000000,1,1,no,39,20,Andi Santoso,08145148725
58,Jakarta Pusat,8000000,3,1,yes,33,15,Dewi Permata,08388801975
59,Jakarta Utara,8000000,1,1,yes,44,3,Budi Nugroho,08847296605
60,Jakarta Timur,6000000,1,1,yes,69,9,Dewi Permata,08166825112
61,Jakarta Barat,9000000,3,2,yes,57,20,Fajar Santoso,08649224219
62,Jakarta Selatan,14000000,2,2,yes,52,5,Hadi Permata,08799111742
63,Jakarta Timur,9000000,3,2,no,79,7,Andi Nugroho,08685091349
64,Jakarta Timur,9000000,2,1,no,79,10,Putri Anggraini,08386952975
65,Jakarta Utara,8000000,2,2,yes,58,6,Andi Lestari,08639196976
66,Jakarta Barat,6000000,3,2,no,53,0,Andi Nugroho,08397784725
67,Jakarta Pusat,12000000,3,2,no,60,16,Nina Saputra,08816549757
68,Jakarta Utara,10000000,2,2,no,39,3,Agus Halim,08269990305
69,Jakarta Pusat,11000000,1,2,no,71,18,Indah Wijaya,08355970190
70,Jakarta Pusat,13000000,1,2,yes,70,17,Rizki Nugroho,08161914794
71,Jakarta Barat,7000000,3,1,no,31,0,Indah Anggraini,08728389840
72,Jakarta Utara,5000000,1,2,no,32,2,Eko Anggraini,08201899411
73,Jakarta Pusat,10000000,3,2,yes,40,3,Lia Permata,08874786401
74,Jakarta Barat,9000000,2,2,no,80,18,Lia Nugroho,08832010496
75,Jakarta Barat,4000000,1,1,no,67,2,Putri Lestari,08332259379
76,Jakarta Pusat,8000000,2,2,no,43,1,Maya Nugroho,08478617381
77,Jakarta Selatan,11000000,2,1,no,32,17,Maya Pratama,08453386328
78,Jakarta Selatan,8000000,1,2,no,53,3,Yusuf Nugroho,08625567533
79,Jakarta Barat,10000000,2,1,yes,52,10,Hadi Santoso,08224840714
80,Jakarta Barat,3000000,3,2,yes,73,5,Rina Kurniawan,08948419378
81,Jakarta Utara,5000000,3,2,no,30,15,Nina Saputra,08536386463
82,Jakarta Selatan,10000000,2,2,no,43,12,Sari Anggraini,08226276722
83,Jakarta Utara,8000000,1,2,yes,67,17,Yusuf Saputra,08174147112
84,Jakarta Barat,8000000,3,2,no,73,1,Agus Nugroho,08813198037
85,Jakarta Utara,10000000,3,2,yes,26,20,Maya Pratama,08501229419
86,Jakarta Barat,9000000,1,1,yes,54,3,Rizki Anggraini,08489537455
87,Jakarta Utara,9000000,2,2,yes,54,17,Rizki Saputra,08359526867
88,Jakarta Pusat,9000000,2,2,no,75,16,Hadi Santoso,08476008935
89,Jakarta Barat,10000000,1,2,no,47,10,Eko Anggraini,08524165061
90,Jakarta Pusat,14000000,1,2,yes,45,15,Eko Saputra,08953551903
91,Jakarta Timur,3000000,1,2,yes,80,14,Dewi Kurniawan,08691257489
92,Jakarta Pusat,14000000,3,1,yes,55,8,Fajar Permata,08997668663
93,Jakarta Selatan,13000000,3,2,no,65,15,Sari Permata,08194938791
94,Jakarta Utara,6000000,3,1,no,31,20,Dewi Anggraini,08326024207
95,Jakarta Selatan,8000000,2,1,no,47,11,Lia Pratama,08429911492
96,Jakarta Timur,5000000,1,1,yes,64,12,Maya Anggraini,08853401116
97,Jakarta Pusat,15000000,3,2,no,41,0,Yusuf Nugroho,08973650391
98,Jakarta Selatan,15000000,2,2,no,69,8,Yusuf Nugroho,08367454081
99,Jakarta Timur,4000000,1,2,no,61,9,Indah Santoso,08957640518
100,Jakarta Utara,3000000,3,1,no,78,9,Maya Permata,08564674286
